#,Topic,Sub Topic,Question,Code Snippet,Question Type,Correct Option,Answer 1,Answer 2,Answer 3,Answer 4,Reference Link
1,Data Structures,Python Tuples,What is the output of the following piece of code when executed in the python shell?,"a={1,2,3}
a.intersection_update({2,3,4,5})
print(a)",MCQ,1,"{2,3}","Error, duplicate item present in list","Error, no method called intersection_update for set data type","{1,4,5}",http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
2,Data Structures,Python Dictionary,Read the code shown below carefully and pick out the keys?,"d = {""john"":40, ""peter"":45}",MCQ,2,"“john”, 40, 45, and “peter”",“john” and “peter”,40 and 45,"d = (40:”john”, 45:”peter”)",https://www.sanfoundry.com/python-mcqs-dictionary-1/
3,OOPS,Python Functions,Which Of The Following Statements Correctly Represent The Function Body In The Given Code Snippet?,"def f(number):
  # Missing function body
print(f(5))",MCQ,4,return “number”,print(number),print(“number”),return number,
4,Data Structures,Python Strings,What Is The Output Of The Following Code Snippet?,"def func(message, num = 1):
    print(message * num)
 
func('Welcome')
func('Viewers', 3)",MCQ,2,"Welcome
Viewers","Welcome
ViewersViewersViewers","Welcome
Viewers,Viewers,Viewers",Welcome,
5,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,"def func(x = 1, y = 2):
    x = x + y
    y += 1
    print(x, y)
func(y = 2, x = 1)",MCQ,4,1 3,2 3,The program has a runtime error because x and y are not defined.,3 3,
6,OOPS,Python Functions,"What will be the output of the following code fragment?
","def myfunc(arg, *targ, **darg):
   print(sum(targ) + arg + sum(darg.values()))
 
myfunc(37, 2, 3, g = 124, k = 34, z = 200)",MCQ,1,"400
",42,158,163,ACP
7,Data Structures,Python Strings,What Is The Output Of The Following Code Snippet?,"def myfunc(text, num):
    while num > 0:
        print(text)
        num = num - 1

myfunc('Hello', 4)",MCQ,4,"Hello
Hello
Hello
Hello
Hello","Hello
Hello
Hello
Hello",invalid call,infinite loop,
8,Data Structures,"Python Variable name, Operator and data types",What dataype is the object below ?,"L = [1, 23, ‘hello’, 1].",MCQ,1,list,dictionary,array,tuple,
9,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,"num = 1
def func():
    global num
    num = num + 3
    print(num)

func()
print(num)",MCQ,4,1 4,4 1,The program has a runtime error because the local variable ‘num’ referenced before assignment.,4 4,
10,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,"num = 1
def func():
    num = 3
    print(num)

func()
print(num)",MCQ,2,1 3, 3 1,The program has a runtime error because x is not defined.,1 1,
11,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,"num = 1
def func():
    num = num + 3
    print(num)

func()
print(num)",MCQ,3,1 4,4 1,The program has a runtime error because the local variable ‘num’ referenced before assignment.,1 1,
12,Interfaces & Packages,Python Lambda,"What will be the output, if you run the given code fragment using a python interpreter.","print(sum(map(lambda x: x * 2, range(1,11))))
    
",MCQ,1,110,100,200,210,ACP
13,Data Structures,Python Strings,What is the output of the following?,"print('a'.maketrans('ABC', '123'))",MCQ,2,"{97: 49, 98: 50, 99: 51}","{65: 49, 66: 50, 67: 51}",{97: 49},1,
14,Data Structures,Python Strings,What is the output of the following?,"print('xyyxyyxyxyxxy'.replace('xy', '12', 100))",MCQ,2,xyyxyyxyxyxxy,12y12y1212x12,none of the mentioned,error,
15,Interfaces & Packages,Python Lambda,What will be the output of the given code fragment? ,"r = lambda q: q * 2
s = lambda q: q * 3
x = 4
x = r(x)
x = s(x)
print(x)



",MCQ,1,"
24
",48,12,16,ACP
16,Data Structures,Python Tuples,What is the output of the code shown below?,"s=set([1, 2, 3])
s|([4, 5])",MCQ,3,"{1, 2, 3, 4, 5}{1, 2, 3, 4, 5}","Error{1, 2, 3, 4, 5}",Run time error,ErrorError,http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
17,Data Structures,Python Tuples,"What is the output of the line of code shown below, if s1= {1, 2, 3}?",s1.issubset(s1),MCQ,1,TRUE,Error,No output,FALSE,http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
18,Coding Guidelines,Python Coding guidelines,Is the following code valid?,"try:
    # Do something
except:
    # Do something
else:
    # Do something",MCQ,4,"no, there is no such thing as else","no, else cannot be used with except","no, else must come before except",yes,"https://www.sanfoundry.com/python-questions-answers-exception-handling/
https://docs.python.org/3/tutorial/errors.html "
19,OOPS,Python Functions,What Is The Default Return Value For A Function That Does Not Return Any Value Explicitly?,,MCQ,4,int,double,public,None,
20,OOPS,Python Functions,Which of The Following Items Are Present In The Function Header?,,MCQ,2,function name,function name and parameter list,parameter list,return value,
21,OOPS,Python Functions,Which of The Following Enclose The Input Parameters Or Arguments Of A Function?,,MCQ,2,brackets,parentheses,curly braces,quotation marks,
22,OOPS,Python Functions,Which of The Following Keywords Marks The Beginning Of The Function Block?,,MCQ,3,fun,define,def,function,
23,OOPS,Python Functions,"What Is The Name Given To That Area Of Memory, Where The System Stores The Parameters And Local Variables Of A Function Call?",,MCQ,3,a heap,storage area,a stack,an array,
24,OOPS,Python Functions,Which of The Following Function Definition Does Not Return Any Value?,,MCQ,1,a function that prints integers from 1 to 100.,a function that returns a random integer from 1 to 100.,a function that checks whether the current second is an integer from 1 to 100.,a function that converts an uppercase letter to lowercase.,
25,OOPS,Python Functions,Which Of The Following Would You Relate To A Function Call Made With An Argument Passed As Its Parameter?,,MCQ,2,function invocation,pass by value,pass by reference,pass by name,
26,Data Types,Python numbers,What Is The Output Of The Following Code Snippet?,,MCQ,2,3 1,3 3,The program has a runtime error because x and y are not defined.,1 3,
27,Data Structures,Python Tuples,Which of the following statements is used to create an empty set?,,MCQ,2,{ },set(),[ ].,( ),http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
28,Data Structures,Python Tuples,Which of the following lines of code will result in an error?,,MCQ,4,s={abs},"s={4, ‘abc’, (1,2)}","s={2, 2.2, 3, ‘xyz’}",s={san},http://www.allindiaexams.in/engineering/cse/python-mcq/tuples-sets
29,Data Structures,"Python Variable name, Operator and data types","What is answer of this expression, 22 % 3 is?",,MCQ,2,7,1,0,5,
30,Data Structures,"Python Variable name, Operator and data types","What is the output of this expression, 3*1**3?",,MCQ,3,27,9,3,1,
31,Data Structures,"Python Variable name, Operator and data types",Which of the following will run without errors ?,,MCQ,1,round(45.8),"round(6352.898,2,5)",round(),"round(7463.123,2,1)",
